humanSusceptibleNumber,humanExposureNumber,humanInfectNumber,humanRecoverNumber
1000.0,0.0,0.0,0.0
999.8628682415107,0.1371129533701872,0.00261167530228928,0.00004352792170482
999.8628682415107,0.1371129533701872,0.00261167530228928,0.00004352792170482
999.8628682415107,0.1371129533701872,0.00261167530228928,0.00004352792170482
999.8628682415107,0.1371129533701872,0.00261167530228928,0.00004352792170482
999.8628682415107,0.1371129533701872,0.00261167530228928,0.00004352792170482
998.7731278282826,1.2217468500717321,0.0258279085075914,0.00047355778428096
998.7731278282826,1.2217468500717321,0.0258279085075914,0.00047355778428096
998.7731278282826,1.2217468500717321,0.0258279085075914,0.00047355778428096
998.7731278282826,1.2217468500717321,0.0258279085075914,0.00047355778428096
998.7731278282826,1.2217468500717321,0.0258279085075914,0.00047355778428096
996.3120731595983,3.641851257911305,0.09465124805010677,0.00204634300727327
996.3120731595983,3.641851257911305,0.09465124805010677,0.00204634300727327
996.3120731595983,3.641851257911305,0.09465124805010677,0.00204634300727327
996.3120731595983,3.641851257911305,0.09465124805010677,0.00204634300727327
996.3120731595983,3.641851257911305,0.09465124805010677,0.00204634300727327
993.359961877644,6.481513907777013,0.21611046280289684,0.00562772062391548
993.359961877644,6.481513907777013,0.21611046280289684,0.00562772062391548
993.359961877644,6.481513907777013,0.21611046280289684,0.00562772062391548
993.359961877644,6.481513907777013,0.21611046280289684,0.00562772062391548
993.359961877644,6.481513907777013,0.21611046280289684,0.00562772062391548
989.8963890610693,9.749177809746907,0.3972467557579514,0.01219222268030885
989.8963890610693,9.749177809746907,0.3972467557579514,0.01219222268030885
989.8963890610693,9.749177809746907,0.3972467557579514,0.01219222268030885
989.8963890610693,9.749177809746907,0.3972467557579514,0.01219222268030885
986.1108338626092,13.24486632540371,0.6411436034615446,0.02275602717786484
986.1108338626092,13.24486632540371,0.6411436034615446,0.02275602717786484
986.1108338626092,13.24486632540371,0.6411436034615446,0.02275602717786484
986.1108338626092,13.24486632540371,0.6411436034615446,0.02275602717786484
986.1108338626092,13.24486632540371,0.6411436034615446,0.02275602717786484
982.2527309373389,16.715349481137082,0.9459959587752056,0.03829506621900629
982.2527309373389,16.715349481137082,0.9459959587752056,0.03829506621900629
982.2527309373389,16.715349481137082,0.9459959587752056,0.03829506621900629
982.2527309373389,16.715349481137082,0.9459959587752056,0.03829506621900629
982.2527309373389,16.715349481137082,0.9459959587752056,0.03829506621900629
977.9438624686586,20.537275405884014,1.3172111311861547,0.05986563440991881
977.9438624686586,20.537275405884014,1.3172111311861547,0.05986563440991881
977.9438624686586,20.537275405884014,1.3172111311861547,0.05986563440991881
977.9438624686586,20.537275405884014,1.3172111311861547,0.05986563440991881
977.9438624686586,20.537275405884014,1.3172111311861547,0.05986563440991881
973.3439241993207,24.54294889521768,1.7568880815001806,0.08854844609082263
973.3439241993207,24.54294889521768,1.7568880815001806,0.08854844609082263
973.3439241993207,24.54294889521768,1.7568880815001806,0.08854844609082263
973.3439241993207,24.54294889521768,1.7568880815001806,0.08854844609082263
973.3439241993207,24.54294889521768,1.7568880815001806,0.08854844609082263
968.0883983888689,29.088562610649756,2.273866081252315,0.12556072965078632
968.0883983888689,29.088562610649756,2.273866081252315,0.12556072965078632
968.0883983888689,29.088562610649756,2.273866081252315,0.12556072965078632
968.0883983888689,29.088562610649756,2.273866081252315,0.12556072965078632
962.7531331808958,33.589794365266314,2.8656678487166642,0.17206625316622287
962.7531331808958,33.589794365266314,2.8656678487166642,0.17206625316622287
962.7531331808958,33.589794365266314,2.8656678487166642,0.17206625316622287
962.7531331808958,33.589794365266314,2.8656678487166642,0.17206625316622287
962.7531331808958,33.589794365266314,2.8656678487166642,0.17206625316622287
957.280343412979,38.10621895681295,3.5310031583894004,0.229195643274384
957.280343412979,38.10621895681295,3.5310031583894004,0.229195643274384
957.280343412979,38.10621895681295,3.5310031583894004,0.229195643274384
957.280343412979,38.10621895681295,3.5310031583894004,0.229195643274384
957.280343412979,38.10621895681295,3.5310031583894004,0.229195643274384
950.4348869242095,43.85705438656152,4.291832222884891,0.2984342238897217
950.4348869242095,43.85705438656152,4.291832222884891,0.2984342238897217
950.4348869242095,43.85705438656152,4.291832222884891,0.2984342238897217
950.4348869242095,43.85705438656152,4.291832222884891,0.2984342238897217
950.4348869242095,43.85705438656152,4.291832222884891,0.2984342238897217
942.8351045462155,50.19612667381532,5.157343574506185,0.3814056078925942
942.8351045462155,50.19612667381532,5.157343574506185,0.3814056078925942
942.8351045462155,50.19612667381532,5.157343574506185,0.3814056078925942
942.8351045462155,50.19612667381532,5.157343574506185,0.3814056078925942
942.8351045462155,50.19612667381532,5.157343574506185,0.3814056078925942
934.9276333432018,56.66799691682438,6.127856738729931,0.4797224974591671
934.9276333432018,56.66799691682438,6.127856738729931,0.4797224974591671
934.9276333432018,56.66799691682438,6.127856738729931,0.4797224974591671
934.9276333432018,56.66799691682438,6.127856738729931,0.4797224974591671
926.3546235489824,63.621385875305904,7.2103267956800305,0.5950973857459093
926.3546235489824,63.621385875305904,7.2103267956800305,0.5950973857459093
926.3546235489824,63.621385875305904,7.2103267956800305,0.5950973857459093
926.3546235489824,63.621385875305904,7.2103267956800305,0.5950973857459093
926.3546235489824,63.621385875305904,7.2103267956800305,0.5950973857459093
916.8422336438432,71.31102025336997,8.416413933232246,0.729419977442321
916.8422336438432,71.31102025336997,8.416413933232246,0.729419977442321
916.8422336438432,71.31102025336997,8.416413933232246,0.729419977442321
916.8422336438432,71.31102025336997,8.416413933232246,0.729419977442321
