mosquitoInfectionRatio,rodentInfectionRatio,humanInfectionRatio
0.00249999999999995,0.02,0.0
0.00320421939948902,0.04,0.00000261167530229
0.00371065860161102,0.04,0.00000261167530229
0.00417643926689701,0.06,0.00000261167530229
0.00576294899156566,0.08,0.00000261167530229
0.0080585267978842,0.08,0.00000261167530229
0.00987970976805964,0.08,0.00001506734569496
0.01126449388485014,0.1,0.00001506734569496
0.01297649492851589,0.1,0.00001506734569496
0.01519954031819108,0.1,0.00001506734569496
0.0165499610422482,0.1,0.00001506734569496
0.01763859429383175,0.1,0.00004805353347774
0.01860574405602502,0.1,0.00004805353347774
0.01988015326782961,0.1,0.00004805353347774
0.02109987359733661,0.1,0.00004805353347774
0.02229285764172456,0.1,0.00004805353347774
0.02419895841169026,0.1,0.00010893566441484
0.02556092599165006,0.1,0.00010893566441484
0.02604050853102932,0.1,0.00010893566441484
0.02610095111255849,0.1,0.00010893566441484
0.02603902274782234,0.1,0.00010893566441484
0.02557503896821248,0.1,0.00019979946959163
0.02500014714026093,0.1,0.00019979946959163
0.02443762098820926,0.1,0.00019979946959163
0.02394972897119128,0.1,0.00019979946959163
0.02394145919062192,0.1,0.00031576448701709
0.02352992187488873,0.1,0.00031576448701709
0.02364582398605391,0.1,0.00031576448701709
0.02407563734753964,0.1,0.00031576448701709
0.02404396286843069,0.1,0.00031576448701709
0.02354639478508333,0.1,0.00045501456662517
0.02420489369286646,0.1,0.00045501456662517
0.02370774871310005,0.1,0.00045501456662517
0.02318921965750536,0.1,0.00045501456662517
0.02310714722842715,0.1,0.00045501456662517
0.02389074711933134,0.1,0.00061561316495013
0.02353549340888902,0.1,0.00061561316495013
0.02303113778946322,0.1,0.00061561316495013
0.02253664298896796,0.1,0.00061561316495013
0.02205445426992336,0.1,0.00061561316495013
0.02158423669151725,0.1,0.00079407618868089
0.02118693946318691,0.1,0.00079407618868089
0.02173360903086936,0.1,0.00079407618868089
0.02136908039428624,0.1,0.00079407618868089
0.02155479332366789,0.1,0.00079407618868089
0.02127302647724936,0.1,0.00098861498717408
0.02085768769155819,0.1,0.00098861498717408
0.0204460990213977,0.1,0.00098861498717408
0.02004398436329699,0.1,0.00098861498717408
0.01965112585959673,0.1,0.00119560251074165
0.01926766399851308,0.1,0.00119560251074165
0.01889352939967879,0.1,0.00119560251074165
0.01852829632428969,0.1,0.00119560251074165
0.01817195716243921,0.1,0.00119560251074165
0.01782398276401247,0.1,0.00141172017297784
0.01797462228529575,0.1,0.00141172017297784
0.01846775147527107,0.1,0.00141172017297784
0.01898163669511823,0.1,0.00141172017297784
0.01943635909055308,0.1,0.00141172017297784
0.01973861507955776,0.1,0.00163875692784185
0.01939258667145702,0.1,0.00163875692784185
0.01904343885433035,0.1,0.00163875692784185
0.01874078052651227,0.1,0.00163875692784185
0.01934370355381212,0.12,0.00163875692784185
0.02044830692249588,0.12,0.00187561773616275
0.02114123550381988,0.12,0.00187561773616275
0.02145681062842288,0.12,0.00187561773616275
0.02165644672101151,0.12,0.00187561773616275
0.02171444414311783,0.12,0.00187561773616275
0.02308962192021064,0.12,0.00212429427289996
0.02495407050165227,0.12,0.00212429427289996
0.02587572652811975,0.12,0.00212429427289996
0.02629403918441195,0.12,0.00212429427289996
0.02686433810449121,0.12,0.00239074570523519
0.02762475526505643,0.12,0.00239074570523519
0.02750329168805843,0.12,0.00239074570523519
0.02766394556809681,0.12,0.00239074570523519
0.0290374055146209,0.12,0.00239074570523519
0.02954989518025694,0.12,0.00267709601844022
0.03008088562554964,0.14,0.00267709601844022
0.03057934022488604,0.14,0.00267709601844022
0.03071705377354618,0.14,0.00267709601844022
0.03074036094101246,0.14,0.00267709601844022
0.03129721704088075,0.14,0.0029839838747097
0.03216082759083992,0.14,0.0029839838747097
0.03384769550416711,0.14,0.0029839838747097
0.03519088710574469,0.14,0.0029839838747097
0.03614964403107208,0.14,0.0029839838747097
0.03753439939512384,0.14,0.00331783827035345
0.0381955343835075,0.14,0.00331783827035345
0.04113794313264137,0.14,0.00331783827035345
0.04224842349900177,0.14,0.00331783827035345
0.04353229453716327,0.14,0.00331783827035345
0.0444136862689002,0.14,0.0036864106123855
0.04498956510458375,0.14,0.0036864106123855
0.04616463737471583,0.14,0.0036864106123855
0.04671561108419382,0.14,0.0036864106123855
0.04655076030481485,0.14,0.00409155522323748
0.04721736653764548,0.16,0.00409155522323748
0.04752563934791863,0.16,0.00409155522323748
0.04835992763559419,0.16,0.00409155522323748
0.04840382299136237,0.16,0.00409155522323748
0.04822290311638058,0.16,0.00453270886618929
0.04908839958070844,0.16,0.00453270886618929
0.05010005201103156,0.16,0.00453270886618929
0.05097403531018632,0.16,0.00453270886618929
0.05102411088877996,0.16,0.00453270886618929
0.05099002641147255,0.16,0.00501094158407298
0.05084481735368002,0.16,0.00501094158407298
0.05107796026042447,0.16,0.00501094158407298
0.05051545775265957,0.16,0.00501094158407298
0.05035990501403172,0.16,0.00501094158407298
0.04982146655360183,0.16,0.00552252408011556
0.04989967204748766,0.16,0.00552252408011556
0.05055759687236098,0.16,0.00552252408011556
0.05050726866626813,0.16,0.00552252408011556
0.05125418738402703,0.16,0.00552252408011556
0.05120907165867057,0.16,0.00606631422018016
0.05222651133218092,0.16,0.00606631422018016
0.05335619735562677,0.16,0.00606631422018016
0.05380366905465794,0.16,0.00606631422018016
0.05394295802586325,0.16,0.00664339759253572
0.05527796208736666,0.18,0.00664339759253572
0.05487495663519418,0.18,0.00664339759253572
0.05399513106049873,0.18,0.00664339759253572
0.05403495516040428,0.18,0.00664339759253572
0.05337357323149487,0.18,0.00725083962034268
0.05379907705864612,0.2,0.00725083962034268
0.05455060778775189,0.2,0.00725083962034268
0.05366704307430566,0.2,0.00725083962034268
0.0527550543635002,0.2,0.00725083962034268
0.05186291915739333,0.2,0.00788433440041546
0.05099041518514476,0.2,0.00788433440041546
0.05013743744470677,0.2,0.00788433440041546
