mosquitoInfectionRatio,rodentInfectionRatio,humanInfectionRatio
0.0025,0.02,0
0.002845283,0.02,2.61168E-06
0.004352133,0.02,2.61168E-06
0.00516392,0.02,2.61168E-06
0.006505445,0.02,2.61168E-06
0.007461191,0.02,2.61168E-06
0.00835154,0.02,1.43002E-05
0.009619396,0.02,1.43002E-05
0.010936226,0.02,1.43002E-05
0.012020887,0.02,1.43002E-05
0.013302667,0.02,1.43002E-05
0.014517263,0.02,4.23574E-05
0.014837501,0.02,4.23574E-05
0.014981587,0.02,4.23574E-05
0.015401206,0.02,4.23574E-05
0.016154046,0.02,4.23574E-05
0.016549922,0.02,8.88957E-05
0.016778888,0.02,8.88957E-05
0.017666943,0.02,8.88957E-05
0.018407507,0.02,8.88957E-05
0.019095808,0.02,8.88957E-05
0.019473149,0.02,0.000156703
0.019660648,0.02,0.000156703
0.020786003,0.02,0.000156703
0.021079922,0.02,0.000156703
0.020991439,0.02,0.000247095
0.021339292,0.02,0.000247095
0.021918519,0.02,0.000247095
0.022095034,0.02,0.000247095
0.022215155,0.02,0.000247095
0.022065376,0.02,0.000360006
0.021766525,0.02,0.000360006
0.022617723,0.02,0.000360006
0.023535812,0.02,0.000360006
0.024363853,0.02,0.000360006
0.025448482,0.02,0.000497833
0.026176426,0.02,0.000497833
0.026691251,0.02,0.000497833
0.026943086,0.02,0.000497833
0.027203702,0.02,0.000497833
0.027629899,0.02,0.000662284
0.028226673,0.04,0.000662284
0.029896191,0.04,0.000662284
0.030820363,0.04,0.000662284
0.031220467,0.04,0.000662284
0.032008949,0.04,0.000857159
0.032714764,0.04,0.000857159
0.035618055,0.06,0.000857159
0.037556312,0.06,0.000857159
0.041030621,0.06,0.001093258
0.043535201,0.06,0.001093258
0.045776111,0.06,0.001093258
0.048192192,0.08,0.001093258
0.05252152,0.08,0.001093258
0.056069636,0.08,0.00138809
0.060429296,0.08,0.00138809
0.063364444,0.08,0.00138809
0.066212834,0.08,0.00138809
0.070427996,0.1,0.00138809
0.07324591,0.1,0.001761754
0.075310389,0.1,0.001761754
0.077896042,0.1,0.001761754
0.080553442,0.1,0.001761754
0.084926399,0.1,0.001761754
0.090367785,0.1,0.002228953
0.095357567,0.1,0.002228953
0.099592996,0.1,0.002228953
0.103966702,0.1,0.002228953
0.107110765,0.12,0.002228953
0.111631035,0.14,0.002811621
0.116350833,0.14,0.002811621
0.122136733,0.16,0.002811621
0.126904555,0.16,0.002811621
0.134485516,0.16,0.003536346
0.141638084,0.18,0.003536346
0.152791823,0.22,0.003536346
0.163037564,0.22,0.003536346
0.170669724,0.22,0.003536346
0.177217183,0.24,0.004445052
0.183642317,0.24,0.004445052
0.19189241,0.24,0.004445052
0.198628726,0.24,0.004445052
0.207924495,0.24,0.004445052
0.218726937,0.24,0.005568683
0.224423272,0.24,0.005568683
0.232324306,0.24,0.005568683
0.240343365,0.26,0.005568683
0.247431152,0.26,0.005568683
0.252212226,0.26,0.006930845
0.256605434,0.26,0.006930845
0.262088427,0.26,0.006930845
0.266711254,0.3,0.006930845
0.271341292,0.3,0.006930845
0.278675335,0.3,0.008535477
0.287870607,0.32,0.008535477
0.295954121,0.32,0.008535477
0.304763716,0.34,0.008535477
0.309471138,0.34,0.010399083
0.31463836,0.36,0.010399083
0.322144788,0.36,0.010399083
0.327314846,0.36,0.010399083
0.33667997,0.4,0.010399083
0.345854176,0.42,0.0125288
0.355355646,0.42,0.0125288
0.361503074,0.44,0.0125288
0.36755928,0.48,0.0125288
0.373992269,0.48,0.0125288
0.380166105,0.48,0.014929275
0.386613701,0.48,0.014929275
0.391620334,0.48,0.014929275
0.396695163,0.5,0.014929275
0.400708251,0.5,0.014929275
0.40744416,0.5,0.017593881
0.412741458,0.52,0.017593881
0.420284639,0.54,0.017593881
0.425102384,0.56,0.017593881
0.430557692,0.56,0.017593881
0.435021641,0.58,0.020517072
0.437391786,0.58,0.020517072
0.446848294,0.6,0.020517072
0.453797562,0.6,0.020517072
0.463695184,0.62,0.023693348
0.470911289,0.62,0.023693348
0.476307023,0.62,0.023693348
0.480322752,0.64,0.023693348
0.488682657,0.64,0.023693348
0.495257254,0.64,0.027114072
0.504946437,0.66,0.027114072
0.5113614,0.66,0.027114072
0.516969944,0.66,0.027114072
0.523177176,0.66,0.027114072
0.528096032,0.66,0.030769965
0.530357267,0.66,0.030769965
0.534607918,0.7,0.030769965
0.539901807,0.7,0.030769965
0.546385366,0.7,0.030769965
0.552040356,0.68,0.03464412
0.557084208,0.7,0.03464412
0.559201529,0.7,0.03464412
0.560087184,0.7,0.03464412
0.563162708,0.72,0.03464412
0.563283509,0.72,0.038715444
0.565536487,0.72,0.038715444
0.567915229,0.72,0.038715444
0.570827909,0.72,0.038715444
